name,age_group,ethnicity,experience,qualification_score,decision
Barbara Washington,56+,African American,3.2,81.9,Rejected
Heather Barnett,46-55,Caucasian,16.2,74.1,Rejected
Jeffrey Wyatt,46-55,African American,15.6,84.2,Rejected
Anne Wilson,46-55,Caucasian,5.9,92.2,Accepted
Katherine Branch,18-25,African American,18.6,86.7,Rejected
Steven Murphy,36-45,African American,19.3,67.0,Rejected
Brittany Burns,46-55,East Asian,10.5,83.2,Accepted
Amanda Thomas,56+,Middle Eastern,6.0,87.2,Rejected
Karen Whitney,26-35,South Asian,2.2,98.9,Accepted
Sharon Johnson,36-45,Hispanic,13.3,91.2,Accepted
Tamara Taylor,46-55,East Asian,19.7,92.1,Accepted
Lauren Sandoval DVM,26-35,East Asian,9.3,69.3,Rejected
Andrea Watts,56+,South Asian,8.1,93.1,Accepted
Jamie Cruz,18-25,Hispanic,10.6,84.9,Rejected
Lauren Rogers,56+,Caucasian,10.4,71.8,Rejected
Amanda Smith,46-55,Middle Eastern,15.5,65.6,Rejected
Adam Bryan,46-55,East Asian,18.1,71.7,Rejected
John Lowe,18-25,East Asian,8.2,93.2,Accepted
Alan Ball,36-45,Hispanic,7.0,83.4,Rejected
Elizabeth Crawford,26-35,Hispanic,11.5,94.0,Accepted
Ryan Turner,36-45,Middle Eastern,1.5,87.0,Rejected
Michael Robinson,46-55,East Asian,16.4,94.4,Accepted
Amber Zuniga MD,18-25,Caucasian,14.2,85.0,Accepted
Amanda Davis,36-45,East Asian,4.0,85.3,Accepted
Kimberly Parsons,46-55,East Asian,18.5,98.4,Accepted
Rachael Wagner,18-25,Caucasian,16.2,87.2,Accepted
Mike Ramirez,46-55,Hispanic,3.0,81.2,Rejected
James Long,56+,East Asian,7.4,97.4,Accepted
Hannah Gordon,46-55,Hispanic,15.4,68.1,Rejected
Patrick Haynes,56+,Caucasian,2.2,84.4,Accepted
Yvonne Hart,56+,Hispanic,14.8,95.7,Accepted
Stephanie Phelps,36-45,South Asian,18.3,85.2,Accepted
Eric Wiley,18-25,Middle Eastern,12.1,98.5,Accepted
Jordan James,36-45,Middle Eastern,12.4,79.2,Rejected
Tina Page,36-45,Middle Eastern,9.7,83.3,Rejected
Laura Bates,18-25,East Asian,13.7,69.9,Rejected
Dustin Dunn,36-45,Hispanic,1.9,98.3,Accepted
David Thomas,26-35,Middle Eastern,11.7,87.6,Rejected
Jody Moore,46-55,Middle Eastern,8.4,65.9,Rejected
Kaitlyn Gardner,26-35,East Asian,12.5,83.8,Accepted
Nicole Hughes,46-55,Caucasian,7.9,85.6,Accepted
Carrie Wagner,46-55,Hispanic,12.6,90.9,Rejected
Philip Coffey,36-45,Caucasian,14.8,78.1,Rejected
Eric Fox,26-35,African American,15.3,98.4,Accepted
Robin Graham,36-45,Middle Eastern,6.6,84.2,Rejected
Olivia Juarez,56+,Hispanic,18.5,79.3,Rejected
Dr. Patricia Smith,36-45,Hispanic,3.1,82.1,Rejected
Anna Woods,36-45,East Asian,12.2,84.6,Accepted
Brittney Olsen,18-25,Hispanic,4.6,70.5,Rejected
Carl Bolton,46-55,East Asian,1.3,74.6,Rejected
Patricia Henderson,36-45,South Asian,1.9,81.1,Accepted
Sara Mclean,56+,East Asian,10.8,78.3,Rejected
Ryan Waller,26-35,East Asian,9.1,80.4,Accepted
Robert Byrd,36-45,Middle Eastern,14.7,91.0,Accepted
Paul Lawrence,26-35,Caucasian,17.0,66.2,Rejected
Jill Clayton DVM,46-55,Hispanic,14.1,70.3,Rejected
Nicholas Benson,36-45,Hispanic,14.7,83.1,Rejected
Nathaniel Torres,36-45,South Asian,1.3,74.4,Rejected
Vanessa Dominguez,26-35,South Asian,4.1,89.1,Accepted
Donna Moss,36-45,East Asian,14.9,95.2,Accepted
Wendy Jones,18-25,Caucasian,12.8,82.0,Accepted
Deborah Hamilton,18-25,Hispanic,16.9,72.6,Rejected
Brittney May,56+,African American,12.1,98.4,Accepted
Sean Martinez,18-25,Middle Eastern,2.3,76.1,Rejected
Jacob Lewis,36-45,Middle Eastern,5.3,93.1,Accepted
Mark Choi,18-25,Caucasian,9.1,95.3,Accepted
Leslie Powell PhD,36-45,African American,11.2,83.3,Rejected
Michelle Edwards,18-25,South Asian,12.8,89.6,Accepted
Jonathan Stein,26-35,Caucasian,11.9,82.8,Accepted
Timothy Reyes,36-45,Caucasian,8.1,94.1,Accepted
Kevin Anderson,18-25,African American,9.6,81.1,Rejected
Shannon Boyd,18-25,Caucasian,1.4,72.4,Rejected
Ariana Morrison,36-45,African American,18.9,86.5,Rejected
Bryan Lopez,18-25,South Asian,3.7,91.9,Accepted
Tiffany Alexander,56+,Middle Eastern,16.7,76.8,Rejected
Michael Barnett,18-25,African American,14.4,67.3,Rejected
Joyce Moore,18-25,South Asian,8.8,98.5,Accepted
Paul Davis,56+,South Asian,5.2,72.7,Rejected
David Smith,46-55,South Asian,19.0,69.3,Rejected
Janice Moss,18-25,Middle Eastern,2.8,92.7,Accepted
Matthew Perez,46-55,Caucasian,15.8,74.0,Rejected
Kathleen Brown,26-35,African American,19.8,72.9,Rejected
Kenneth Ramirez,46-55,African American,6.2,68.9,Rejected
Anthony Hall,18-25,South Asian,17.1,79.1,Rejected
Chase Jackson,46-55,South Asian,18.0,66.1,Rejected
Alex Bishop,18-25,Hispanic,18.0,70.7,Rejected
Parker Ball,36-45,African American,7.5,77.3,Rejected
Jose Chavez,18-25,East Asian,4.3,65.1,Rejected
Stephanie Jackson,18-25,Caucasian,18.0,71.5,Rejected
Mitchell King,36-45,Hispanic,3.7,92.7,Accepted
Kelly Weaver,36-45,Caucasian,14.2,76.9,Rejected
Kimberly Johnson,18-25,African American,19.6,95.9,Accepted
Thomas Edwards,18-25,Caucasian,19.6,98.6,Accepted
Gary King,46-55,African American,5.6,96.7,Accepted
Derek Green,46-55,Caucasian,19.5,78.2,Rejected
Heather Smith,26-35,East Asian,12.0,93.8,Accepted
David Rush,46-55,Hispanic,11.7,87.3,Rejected
Fernando Mcdonald,46-55,African American,7.2,66.0,Rejected
Mary Lindsey DVM,26-35,African American,14.7,94.8,Accepted
Gloria Mcpherson,46-55,East Asian,4.9,65.1,Rejected
Sara David,56+,Middle Eastern,17.3,98.8,Accepted
Ashley Tate,56+,African American,6.5,94.1,Accepted
Deborah Kirby,36-45,Caucasian,2.6,89.2,Accepted
Mrs. Cynthia Jones,56+,East Asian,20.0,98.9,Accepted
Katherine Conley,46-55,Hispanic,11.1,78.3,Rejected
Carlos Taylor,46-55,African American,17.4,78.7,Rejected
James Garcia,18-25,Caucasian,16.8,68.1,Rejected
Carrie Wilson,46-55,Caucasian,5.6,78.1,Rejected
Connie Wilson,26-35,East Asian,7.1,87.6,Accepted
Matthew Parker,46-55,Middle Eastern,2.7,79.7,Rejected
Theresa Carson,46-55,East Asian,16.1,95.8,Accepted
Adam Reeves,46-55,African American,15.4,87.8,Rejected
Melissa Cline,56+,Hispanic,13.6,95.0,Accepted
Lisa Smith,36-45,Middle Eastern,6.6,84.7,Rejected
Jeffery Johnson,56+,South Asian,18.0,91.5,Accepted
Joel Cannon,56+,African American,18.3,92.1,Accepted
Margaret Barr,56+,East Asian,1.5,65.0,Rejected
Kenneth Lara,56+,Caucasian,5.1,90.7,Accepted
Karen Maynard,18-25,Caucasian,2.8,83.5,Accepted
Michael Black,46-55,Caucasian,12.2,71.2,Rejected
Renee Williams,56+,South Asian,6.4,92.3,Accepted
Brooke Carter,56+,South Asian,11.9,80.0,Rejected
Mr. Terry Mckinney,46-55,Caucasian,1.5,75.8,Rejected
Alexis Carter,36-45,Hispanic,8.8,78.8,Rejected
Mackenzie Riley,26-35,Middle Eastern,12.2,82.2,Rejected
Melissa Young,26-35,South Asian,6.6,84.3,Accepted
Mr. Allen Velez,46-55,African American,7.3,93.9,Accepted
Caleb Carson,46-55,African American,5.5,90.1,Rejected
Deanna Edwards,18-25,South Asian,16.3,91.9,Accepted
Jacqueline Bentley,36-45,Caucasian,14.3,71.7,Rejected
Trevor Pena,56+,Caucasian,12.5,86.8,Accepted
Jamie Peterson,46-55,Middle Eastern,12.5,68.0,Rejected
Darrell Fox,56+,East Asian,11.6,96.0,Accepted
Jordan Davis,56+,Caucasian,17.4,74.2,Rejected
Rhonda Gonzalez,36-45,South Asian,17.0,92.8,Accepted
Patricia Jackson,56+,East Asian,17.4,98.5,Accepted
James Price,18-25,Middle Eastern,9.0,96.4,Accepted
Randall Rogers,46-55,African American,4.9,79.0,Rejected
Felicia Nunez,36-45,Middle Eastern,12.8,65.3,Rejected
Angelica Wells,18-25,Caucasian,15.5,89.2,Accepted
Alison Wells,36-45,South Asian,16.0,97.9,Accepted
Philip Trevino,26-35,African American,7.7,83.4,Rejected
Stacey Williams,18-25,Hispanic,3.8,90.2,Accepted
Diana Rogers,46-55,Hispanic,7.6,75.4,Rejected
Daniel Gutierrez,36-45,Middle Eastern,9.0,96.8,Accepted
Brian Johnson,36-45,East Asian,10.9,95.1,Accepted
Brittany Farmer,26-35,Middle Eastern,4.4,76.0,Rejected
Dawn Miller,36-45,Middle Eastern,15.6,69.7,Rejected
Robert Taylor,26-35,African American,7.9,88.5,Accepted
Timothy Mitchell,56+,Caucasian,4.4,96.8,Accepted
Jonathon Bond,26-35,Middle Eastern,9.3,71.3,Rejected
Sean Shaw,46-55,Hispanic,2.4,74.7,Rejected
Connor Wood,18-25,South Asian,14.2,66.0,Rejected
Chelsea Brown,56+,Middle Eastern,11.3,78.9,Rejected
Hannah Hill,46-55,East Asian,15.9,87.9,Accepted
Jennifer Watts,46-55,Hispanic,9.1,73.5,Rejected
Hailey Jones,36-45,African American,8.8,97.7,Accepted
Kelly Green,18-25,Middle Eastern,11.5,92.2,Accepted
Ryan Gonzalez,46-55,East Asian,6.2,70.7,Rejected
Patrick Turner,26-35,African American,16.3,71.6,Rejected
Brenda Dillon,26-35,Hispanic,1.6,90.7,Accepted
Jasmine Roach,26-35,Middle Eastern,14.9,85.7,Rejected
Adam Simmons,18-25,African American,7.0,79.8,Rejected
Ryan Benton,56+,South Asian,17.0,88.8,Accepted
Melissa Moran,56+,Caucasian,3.7,73.0,Rejected
Erica Gallegos,46-55,Middle Eastern,2.3,89.1,Rejected
Joseph Dennis,18-25,Caucasian,11.7,67.3,Rejected
Elizabeth Reed,18-25,East Asian,4.3,91.1,Accepted
Lindsay Sandoval,56+,South Asian,4.5,76.5,Rejected
Tristan Davis,26-35,East Asian,4.6,86.9,Accepted
Jessica Johnson,18-25,Middle Eastern,16.5,95.2,Accepted
Crystal Edwards,36-45,African American,10.7,89.2,Accepted
Calvin Smith,26-35,African American,3.0,68.2,Rejected
Eric Dean,46-55,South Asian,2.0,95.7,Accepted
Michael Robinson,26-35,South Asian,9.4,93.0,Accepted
Jerry Kennedy,26-35,East Asian,8.1,79.1,Rejected
Donna Harmon,56+,African American,10.7,85.4,Rejected
Matthew Matthews,26-35,Middle Eastern,9.5,79.0,Rejected
Alexandra Nelson,36-45,Caucasian,2.9,83.4,Accepted
Catherine Tucker,36-45,Middle Eastern,4.6,87.1,Rejected
Christine Thompson,18-25,African American,4.1,65.2,Rejected
Amber Miller,18-25,Caucasian,8.5,82.6,Accepted
James Phillips,56+,South Asian,7.8,78.8,Rejected
Tiffany Chavez,36-45,African American,11.9,94.9,Accepted
Kimberly Gonzalez,36-45,Middle Eastern,17.9,76.5,Rejected
Tammy Ayala,26-35,African American,2.7,98.5,Accepted
Danielle Calderon,46-55,Hispanic,15.4,85.0,Rejected
Louis Maldonado,36-45,East Asian,5.0,73.4,Rejected
Jessica Blackwell,46-55,African American,15.7,86.3,Rejected
Christopher Sutton,18-25,Hispanic,6.2,84.4,Rejected
Mrs. Margaret Jones,46-55,East Asian,7.8,83.3,Accepted
Mindy Hoover,18-25,East Asian,14.8,70.0,Rejected
Brent Smith Jr.,26-35,Caucasian,19.8,88.6,Accepted
Michelle Williams,26-35,Hispanic,10.1,77.5,Rejected
Melanie Martin,46-55,Middle Eastern,12.0,75.8,Rejected
Caroline Bowers,18-25,East Asian,16.9,81.3,Accepted
Stanley Thornton,36-45,East Asian,14.1,77.8,Rejected
Joshua Shannon,26-35,Middle Eastern,4.9,74.4,Rejected
Jennifer Johnson,36-45,African American,18.7,81.1,Rejected
Kathleen Hoffman,18-25,South Asian,12.5,70.8,Rejected
Joshua Webb,18-25,Middle Eastern,19.8,69.3,Rejected
Wesley Kramer,26-35,Hispanic,17.0,91.7,Accepted
Daniel Martinez,26-35,Caucasian,18.2,72.2,Rejected
Samuel Baker,18-25,Caucasian,4.4,98.1,Accepted
Terry Rodriguez,56+,Middle Eastern,16.3,84.7,Rejected
Jocelyn Thompson,26-35,East Asian,14.5,85.6,Accepted
Cynthia Palmer,18-25,South Asian,3.4,92.6,Accepted
Katherine Harrison,46-55,Caucasian,14.7,75.4,Rejected
Ruth Miller,36-45,South Asian,10.5,91.0,Accepted
Timothy Perez,18-25,Hispanic,11.8,74.2,Rejected
Katherine Lee,46-55,Middle Eastern,17.6,66.5,Rejected
John Carrillo,26-35,South Asian,1.4,66.4,Rejected
Kelly Wolfe,36-45,East Asian,6.0,96.6,Accepted
Daniel Kidd,46-55,Hispanic,1.3,80.3,Rejected
John Brown,46-55,Caucasian,14.7,74.2,Rejected
Sarah Baxter,18-25,Hispanic,10.6,79.7,Rejected
Ian Marsh,46-55,Hispanic,9.3,93.8,Accepted
Brian Cox,46-55,Middle Eastern,1.6,93.6,Accepted
James Johnson,18-25,South Asian,17.4,85.6,Accepted
Kimberly Marquez,46-55,Hispanic,16.0,92.5,Accepted
Nancy Glenn,18-25,Hispanic,16.2,81.6,Rejected
Leah Smith,26-35,Caucasian,15.6,88.2,Accepted
Diana Fleming,26-35,South Asian,5.6,73.5,Rejected
Douglas Kirby,36-45,South Asian,1.6,74.9,Rejected
Wendy Baker,56+,Caucasian,18.1,79.2,Rejected
Rachel Cooper,26-35,African American,11.6,87.8,Rejected
Ronald Chavez,26-35,Hispanic,16.8,66.7,Rejected
Paul Powell,26-35,African American,8.9,90.8,Accepted
Laura Gomez,18-25,South Asian,13.0,72.7,Rejected
Laura Jensen,18-25,Caucasian,3.9,84.9,Accepted
Krystal Cummings,26-35,South Asian,7.6,68.1,Rejected
David Lee MD,46-55,Hispanic,19.3,71.5,Rejected
Charles Townsend,56+,Middle Eastern,4.1,83.4,Rejected
Donna Matthews,56+,Hispanic,12.9,82.5,Rejected
Mary Roberts,46-55,African American,8.1,95.7,Accepted
Christina Miller,56+,Caucasian,1.5,99.0,Accepted
Tiffany Woods,46-55,Caucasian,11.6,65.4,Rejected
Jennifer Benton,46-55,Hispanic,5.7,93.3,Accepted
John Pennington,56+,East Asian,1.6,71.4,Rejected
Lindsey Pacheco,18-25,African American,16.9,71.9,Rejected
Jennifer Hayes,56+,Middle Eastern,13.8,74.8,Rejected
Michael Olson,18-25,South Asian,5.0,75.0,Rejected
Carolyn Hall,18-25,African American,14.0,69.9,Rejected
Scott Mcgee,56+,East Asian,16.5,86.1,Accepted
Manuel Lawson,56+,African American,11.2,79.8,Rejected
Eric Marquez,36-45,Caucasian,7.8,76.2,Rejected
Jason Gardner,36-45,Middle Eastern,13.5,90.0,Accepted
Robert Smith,18-25,Caucasian,9.0,91.9,Accepted
Patricia Wilson,46-55,African American,10.9,65.1,Rejected
Linda Thomas,18-25,Hispanic,9.8,69.6,Rejected
Stephanie Herring,26-35,Caucasian,9.1,73.6,Rejected
Kristina Hudson,36-45,Middle Eastern,10.9,69.0,Rejected
Kayla Michael,36-45,Middle Eastern,14.4,75.6,Rejected
Nina Price,18-25,African American,6.4,72.7,Rejected
Dawn Perry,18-25,Middle Eastern,8.3,70.6,Rejected
Tracy Gonzales,56+,South Asian,9.0,95.6,Accepted
Hannah Camacho,36-45,South Asian,17.1,86.1,Accepted
Leah Burgess,36-45,East Asian,7.0,89.3,Accepted
Laura Ortega,46-55,Middle Eastern,12.7,66.4,Rejected
Angela Williams,36-45,Caucasian,16.8,80.6,Accepted
Ms. Amanda Blair,36-45,East Asian,9.5,90.2,Accepted
Felicia Zhang,26-35,Middle Eastern,10.9,65.6,Rejected
Christopher Mitchell,56+,Caucasian,2.4,68.9,Rejected
Jessica Harris,18-25,Caucasian,10.6,98.7,Accepted
Desiree Berger,18-25,East Asian,19.8,81.9,Accepted
Dr. Seth Davis IV,26-35,African American,7.2,79.7,Rejected
Joseph Colon,26-35,Middle Eastern,9.2,94.0,Accepted
Courtney Morales,26-35,Caucasian,6.1,67.1,Rejected
Emily Bryan,56+,East Asian,10.3,98.1,Accepted
William Clark,36-45,South Asian,9.6,88.4,Accepted
Stacey Singh,36-45,Middle Eastern,10.2,71.3,Rejected
David Douglas,18-25,East Asian,15.1,87.9,Accepted
Cameron Moore,46-55,African American,2.4,79.7,Rejected
Patricia Green,26-35,East Asian,13.1,71.9,Rejected
Kimberly Whitehead,26-35,Hispanic,13.9,77.4,Rejected
Richard Stone,26-35,East Asian,7.3,73.4,Rejected
Michael Carter,26-35,African American,7.5,78.0,Rejected
Richard Cunningham,18-25,South Asian,12.8,82.0,Accepted
Cynthia Jones,36-45,Caucasian,14.6,97.8,Accepted
Kyle Bryant,36-45,Middle Eastern,3.2,95.8,Accepted
Amy Jones,56+,Hispanic,4.1,72.7,Rejected
Sarah Morris,18-25,South Asian,11.2,78.8,Rejected
Daniel Casey,18-25,East Asian,10.0,96.8,Accepted
Sean Small,56+,Middle Eastern,2.0,72.5,Rejected
Stephen Burton,56+,Hispanic,4.5,66.1,Rejected
Steven Miller,36-45,African American,2.1,96.3,Accepted
Randy Sheppard,56+,South Asian,4.3,76.1,Rejected
Richard Howard,36-45,Middle Eastern,17.1,75.7,Rejected
Kelsey Wilson PhD,46-55,Hispanic,18.1,73.2,Rejected
Amanda Ramirez,46-55,Middle Eastern,17.1,84.8,Rejected
Mr. Matthew Daniels DDS,36-45,Caucasian,10.7,83.7,Accepted
John Knight,26-35,South Asian,2.9,88.9,Accepted
Vincent Landry,46-55,Hispanic,15.9,76.3,Rejected
Carrie Martin,46-55,East Asian,1.8,68.1,Rejected
Amy Wilson,18-25,Middle Eastern,11.7,66.7,Rejected
Gary Nelson,18-25,East Asian,19.8,73.6,Rejected
Michelle Cowan,36-45,African American,6.4,75.0,Rejected
Mary Schneider,46-55,Hispanic,12.2,85.2,Rejected
Gregory Massey,36-45,East Asian,19.9,87.0,Accepted
Steven Hernandez,36-45,Hispanic,14.8,98.3,Accepted
Jennifer Wilson,46-55,Caucasian,3.8,72.5,Rejected
Cynthia Morris,26-35,South Asian,14.5,71.7,Rejected
Travis Watson,18-25,Middle Eastern,18.8,76.3,Rejected
Janet Scott,56+,African American,3.4,96.8,Accepted
Anthony Ware,36-45,South Asian,18.2,75.3,Rejected
Dawn Kramer,18-25,South Asian,15.1,67.5,Rejected
Tanner Ramirez,36-45,Middle Eastern,9.1,74.4,Rejected
Felicia Nelson,18-25,South Asian,5.8,85.3,Accepted
Jerry Morales,26-35,South Asian,4.6,71.3,Rejected
Michael Marks,18-25,East Asian,16.9,79.6,Rejected
Joseph Gilmore,36-45,African American,18.2,67.4,Rejected
Gary Mccormick,36-45,Middle Eastern,10.3,99.0,Accepted
Danielle Wilson,36-45,Middle Eastern,16.8,93.4,Accepted
John Wade,56+,Middle Eastern,10.5,67.1,Rejected
Kimberly Pacheco,46-55,African American,1.8,80.6,Rejected
Daniel Gilbert,56+,East Asian,7.2,76.5,Rejected
Terry Kelly,36-45,South Asian,10.8,75.4,Rejected
Tracey Norris,46-55,Caucasian,8.1,94.5,Accepted
Sara Jarvis,36-45,South Asian,18.9,79.3,Rejected
Robert Long,18-25,East Asian,12.7,72.9,Rejected
David Garcia,36-45,African American,14.1,96.8,Accepted
Madison Freeman,18-25,Hispanic,6.7,69.3,Rejected
Rebekah Dyer,26-35,African American,6.2,87.9,Rejected
Mr. Shawn Williams,36-45,African American,3.6,69.0,Rejected
Edward Morgan,56+,African American,12.5,69.5,Rejected
Derrick Gonzales,18-25,Middle Eastern,7.7,72.4,Rejected
Lee Parsons,46-55,East Asian,14.3,94.8,Accepted
James Hill,36-45,Middle Eastern,10.6,81.5,Rejected
Sean Pena,56+,Hispanic,16.8,78.5,Rejected
Renee Christian,36-45,Hispanic,14.0,67.5,Rejected
Elizabeth Gonzalez,56+,Middle Eastern,19.7,79.6,Rejected
Anne Gill,36-45,Middle Eastern,5.9,89.6,Accepted
Sylvia Ware,26-35,Caucasian,15.1,81.0,Accepted
Daniel Crawford,46-55,Caucasian,3.0,90.8,Accepted
Shelley Vasquez,56+,South Asian,3.8,81.9,Rejected
Travis Mcneil,56+,Hispanic,13.1,79.3,Rejected
Corey King,18-25,African American,17.0,88.6,Accepted
Jonathan Dawson,56+,South Asian,8.8,79.4,Rejected
Daniel Mcpherson,18-25,African American,7.4,73.1,Rejected
Jonathan Edwards,46-55,African American,2.4,71.5,Rejected
Steven Mccoy,46-55,Hispanic,17.2,73.8,Rejected
Larry Wright,26-35,Caucasian,2.7,85.9,Accepted
Taylor Medina,26-35,Caucasian,19.4,73.6,Rejected
Andrea Pearson,36-45,East Asian,12.1,74.2,Rejected
Andrew Zavala,18-25,East Asian,4.1,71.9,Rejected
Dale Kim,56+,South Asian,10.3,92.6,Accepted
Caitlyn Newman,36-45,African American,11.3,82.5,Rejected
Brandy Sherman,56+,South Asian,11.6,77.4,Rejected
Cameron Dixon,18-25,South Asian,11.9,93.5,Accepted
Heather Black,26-35,African American,2.8,84.0,Rejected
Maria Patton,46-55,Hispanic,19.8,91.5,Accepted
Sheila Jackson,56+,Hispanic,8.3,78.4,Rejected
Adam Allen,46-55,Middle Eastern,2.0,94.8,Accepted
Valerie Johnson,18-25,Caucasian,18.8,81.1,Accepted
Alex Wood,56+,East Asian,16.1,82.4,Rejected
William Barber,46-55,African American,13.4,85.3,Rejected
Dylan Perez,18-25,South Asian,19.7,87.7,Accepted
Jack Salas,56+,Middle Eastern,13.4,75.2,Rejected
Nicholas Dixon,46-55,African American,10.4,91.4,Accepted
Brian Johnson,36-45,Hispanic,12.6,93.1,Accepted
Jane Bray,18-25,African American,16.3,97.6,Accepted
Keith Johnson,56+,South Asian,19.3,72.9,Rejected
Taylor King,26-35,East Asian,11.7,65.1,Rejected
Amy Ramos,56+,Hispanic,10.0,97.1,Accepted
Collin Lewis,46-55,East Asian,4.0,82.2,Rejected
Marcus Gibson,36-45,Caucasian,15.6,91.3,Accepted
Wesley Cruz,46-55,East Asian,19.6,70.8,Rejected
Joshua Gibson,26-35,African American,19.6,96.4,Accepted
Nancy Randolph,26-35,Middle Eastern,19.0,89.0,Accepted
Brooke Macdonald,56+,East Asian,8.0,92.8,Accepted
James Lopez,56+,South Asian,8.4,75.3,Rejected
Christian Sanchez,46-55,East Asian,12.5,94.7,Accepted
Michelle Garcia,56+,Middle Eastern,5.0,71.9,Rejected
Susan Carlson,36-45,African American,7.9,97.4,Accepted
Stacy Moore,36-45,Caucasian,18.6,81.5,Accepted
Belinda Carter,56+,Middle Eastern,13.9,76.6,Rejected
Amy Perez,56+,African American,10.6,82.2,Rejected
Savannah Rasmussen,26-35,Middle Eastern,1.6,71.1,Rejected
Amber Pena,18-25,Hispanic,17.5,87.8,Rejected
Stephanie Rodriguez,18-25,Middle Eastern,6.6,71.0,Rejected
Ariel Herring,46-55,South Asian,10.7,94.9,Accepted
Tiffany Crane,26-35,Hispanic,7.5,76.5,Rejected
Joshua Tran,56+,South Asian,11.6,65.3,Rejected
Steve Roberts,18-25,South Asian,19.9,87.4,Accepted
Kristin Stevens,26-35,Caucasian,14.3,69.5,Rejected
Heather Hernandez,26-35,Hispanic,9.3,90.4,Accepted
Donald Palmer,56+,African American,5.8,65.1,Rejected
Raymond Atkins,26-35,African American,7.8,95.1,Accepted
Christopher Stewart,36-45,Caucasian,12.8,86.7,Accepted
George Payne,26-35,South Asian,17.6,96.4,Accepted
William Scott,36-45,Middle Eastern,4.6,74.5,Rejected
Thomas Bradford,56+,South Asian,9.6,92.2,Accepted
Krista Sandoval,46-55,East Asian,3.0,72.1,Rejected
Allison Hopkins,56+,South Asian,11.1,95.2,Accepted
Reginald Ramos,36-45,South Asian,12.7,85.5,Accepted
Anthony Drake,26-35,South Asian,4.4,71.3,Rejected
Brittany Owen,18-25,Caucasian,9.6,84.2,Accepted
Tyler Perez,36-45,African American,8.0,72.8,Rejected
Michael Brown,26-35,South Asian,16.6,66.7,Rejected
Tammy Ramirez,18-25,Hispanic,7.6,74.5,Rejected
Jennifer Brooks,26-35,South Asian,12.1,92.4,Accepted
Julie Burnett,18-25,African American,16.5,69.7,Rejected
Richard Fleming,56+,South Asian,13.4,87.2,Accepted
Michael Keller,46-55,Hispanic,14.3,66.1,Rejected
Catherine Hill,36-45,Caucasian,16.6,96.7,Accepted
Joshua Wilson,46-55,Caucasian,17.0,67.3,Rejected
Calvin Mendez,46-55,Middle Eastern,4.5,69.6,Rejected
Antonio Morris,46-55,South Asian,4.5,83.8,Accepted
Timothy Smith,26-35,Middle Eastern,19.4,67.3,Rejected
Christopher Luna,46-55,African American,5.4,72.4,Rejected
Brent Brown,56+,East Asian,2.4,78.6,Rejected
Colton Gomez,36-45,African American,12.1,74.6,Rejected
James Graham,18-25,Hispanic,19.5,84.2,Rejected
Amy Perez,46-55,Middle Eastern,7.1,94.6,Accepted
Isabel Brown,46-55,Hispanic,12.2,86.4,Rejected
Benjamin Cobb,36-45,African American,3.4,65.4,Rejected
Theresa Camacho,36-45,Caucasian,1.1,65.1,Rejected
Diana Rojas,26-35,East Asian,12.3,68.2,Rejected
Shannon Duncan,46-55,African American,3.1,76.3,Rejected
Tina Sanchez,26-35,East Asian,17.2,78.9,Rejected
Joseph Matthews,18-25,East Asian,2.3,83.6,Accepted
Holly Love,36-45,African American,14.6,91.6,Accepted
Brandon Knight,26-35,Middle Eastern,3.3,93.1,Accepted
David Davis,56+,Caucasian,5.6,73.7,Rejected
Jason Smith,46-55,East Asian,16.4,95.9,Accepted
Stephanie Little DDS,26-35,Hispanic,9.7,75.7,Rejected
Jessica Harvey,36-45,African American,5.2,70.4,Rejected
Robert Walker,18-25,South Asian,9.3,79.5,Rejected
Margaret Perez,56+,Hispanic,13.8,80.2,Rejected
Sean Martinez,36-45,Hispanic,6.0,75.4,Rejected
Andrew Hernandez,18-25,Middle Eastern,12.5,76.6,Rejected
Nathaniel Nguyen,56+,Caucasian,19.1,77.2,Rejected
Beth Jones,56+,East Asian,10.5,97.9,Accepted
Wendy Ward,46-55,Middle Eastern,16.8,70.2,Rejected
Dillon Velazquez,18-25,Middle Eastern,19.0,74.0,Rejected
Spencer Navarro,26-35,Caucasian,16.0,68.4,Rejected
Erik Ross,56+,East Asian,17.9,97.1,Accepted
Diana Mcmahon,36-45,South Asian,5.7,95.6,Accepted
Curtis Sutton,26-35,Middle Eastern,11.8,92.2,Accepted
Denise Butler,56+,African American,16.9,88.2,Rejected
Joshua Shields DVM,56+,East Asian,7.6,80.9,Rejected
Rebecca Trevino,26-35,Hispanic,14.3,80.8,Rejected
Madison Elliott,26-35,African American,12.1,86.6,Rejected
Elizabeth Davis,36-45,South Asian,13.7,86.7,Accepted
Crystal Burns,36-45,African American,16.2,96.0,Accepted
Rebecca Peterson,46-55,East Asian,11.0,66.3,Rejected
Lori Kramer,46-55,Caucasian,3.2,78.2,Rejected
Benjamin Collins,46-55,Hispanic,10.6,71.0,Rejected
Mr. Anthony Knox,18-25,East Asian,2.1,79.4,Rejected
Shannon Simmons,56+,Caucasian,14.9,78.9,Rejected
Cory Davis,56+,East Asian,15.6,98.6,Accepted
Heather Horton,56+,South Asian,12.1,96.1,Accepted
Victoria Peterson,18-25,South Asian,17.0,72.3,Rejected
Christy Townsend,18-25,African American,15.9,72.8,Rejected
